id,title_zh,title_en,title_jp,caption_zh,caption_en,caption_jp,category,posterImage,rarity,hidden,oracle,title_ru,caption_ru,title_es,caption_es,title_tc,caption_tc,series,,,,
999,呈迹会员,Achiva Member,Achiva メンバー,真的非常感谢您的支持，这是我非常得意的作品，如果有任何建议和想法，都欢迎您联系我。希望您用得开心！,"Thank you so much for your support. This is one of my proudest creations. If you have any suggestions or ideas, please feel free to reach out. I hope you enjoy it!",ご支援いただき本当にありがとうございます。これは私の最も自信作のひとつです。ご意見やご要望がありましたら、ぜひご連絡ください。楽しんでいただけますように！,quest,,rare,TRUE,,Участник Achiva,"Огромное спасибо за вашу поддержку. Это работа, которой я горжусь. Если будут идеи или предложения — пишите. Надеюсь, вам понравится!",Miembro de Achiva,"Muchas gracias por tu apoyo. Esta es una obra de la que estoy muy orgulloso. Si tienes sugerencias o ideas, no dudes en escribirme. ¡Espero que la disfrutes!",呈跡會員,真的非常感謝您的支持，這是我非常得意的作品，如果有任何建議和想法，都歡迎您聯系我。希望您用得開心！,,,,,
1,结婚,Marriage,結婚,不论和谁，不论在哪，不论性别，祝你幸福。,"Whoever it is with, wherever it happens, whatever the gender, here’s wishing you happiness.",誰とでも、どこででも、性別にこだわらず、あなたの幸せを願っています。,life,,rare,,,Брак,"Неважно с кем, где или какого пола — желаю счастья.",Matrimonio,"Sin importar con quién, dónde o el género, te deseo felicidad.",結婚,不論和誰，不論在哪，不論性別，祝你幸福。,,,,,
2,本科毕业,Bachelor’s degree,学士号,虽然贬值了，但起码有张纸。,"It may have been devalued, but at least you’ve got the certificate.",価値は下がったかもしれないけど、少なくとも証明書は手に入れた。,study,,common,,,Окончание бакалавриата,"Может, ценность и упала, но бумага всё же есть.",Graduación universitaria,"Puede que haya perdido valor, pero al menos tienes el título en tus manos.",本科畢業,雖然貶值了，但起碼有張紙。,,,,,
3,考取驾照,Getting a driver’s license,免許取得,获得驾照只是成为老司机的第一步。,Getting your driver’s license is only the first step toward becoming a seasoned driver.,運転免許を手に入れるのは、ベテランドライバーへの第一歩にすぎない。,skills,,common,,,Водительские права,"Получение прав — лишь первый шаг к тому, чтобы стать настоящим водителем.",Licencia de conducir,Obtener la licencia es solo el primer paso para ser un verdadero conductor.,考取駕照,獲得駕照只是成為老司機的第一步。,,,,,
4,首份工作,First job,初めての仕事,终于成为社会意义上的大人了。,You’ve finally become an adult in society’s eyes.,ようやく社会的に「大人」になったね。,career,,common,,,Первая работа,Наконец-то ты стал взрослым в глазах общества.,Primer trabajo,Por fin eres un adulto a ojos de la sociedad.,首份工作,終於成為社會意義上的大人了。,,,,,
5,托福110,TOEFL 110,TOEFL 110,Please begin speaking after the beep.,Please begin speaking after the beep.,Please begin speaking after the beep.,study,,rare,,,TOEFL 110,Please begin speaking after the beep.,TOEFL 110,"Por favor, comienza a hablar después del bip.",托福110,Please begin speaking after the beep.,,,,,
6,马拉松完赛,Marathon finish,マラソン完走,下次记得带上乳头贴。,Next time remember to bring nipple tape.,次は必ずニップルテープを忘れずに。,sports,,rare,,,Финиш в марафоне,В следующий раз не забудь наклейки на соски.,Maratón completado,La próxima vez no olvides los parches para los pezones.,馬拉松完賽,下次記得帶上乳頭貼。,,,,,
7,看萤火虫,Watching fireflies,ホタル観賞,萤火虫是地上星，照亮的是身边人。,Fireflies are stars on earth; they light up those around you.,ホタルは地上の星、そばにいる人たちを照らしてくれる。,quest,,rare,,,Светлячки,"Светлячки — это звёзды на земле, освещающие тех, кто рядом.",Luciérnagas,"Las luciérnagas son estrellas en la tierra, iluminando a quienes están a tu lado.",看螢火蟲,螢火蟲是地上星，照亮的是身邊人。,,,,,
8,独自旅行,Solo travel,一人旅,我不是一个人，有月亮、影子和我。,"I’m not alone; I have the moon, my shadow, and me.",私は一人じゃない。月と影と私がいる。,quest,,rare,,,Одиночное путешествие,"Я не один: со мной луна, тень и я сам.",Viaje en solitario,"No estoy solo: tengo la luna, mi sombra y a mí mismo.",獨自旅行,我不是一個人，有月亮、影子和我。,,,,,
9,参加婚礼,Attending a wedding,結婚式に参加,他们看上去很幸福，我也不赖。,"They look so happy, and I’m not too bad either.",彼らはとても幸せそうで、私も悪くない。,life,,common,,,Посещение свадьбы,Они выглядят такими счастливыми. И я тоже неплохо справляюсь.,Asistir a una boda,"Ellos se ven muy felices, y yo tampoco estoy nada mal.",參加婚禮,他們看上去很幸福，我也不賴。,,,,,
